web-scraper-order,web-scraper-start-url,Article Links,Article Links-href,title,specializations,responsibilites,responsibilites-class,requirements,requirements-class,technologies,technologies-data-test,salary,employment-type,schedule,next
"1743533337-109","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/it-project-manager-bielsko-biala-warszawska-183,oferta,1003962372?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","IT Project Manager","Business analytics, Project Management","[{""responsibilites"":""Poszukujemy Project Managera z doświadczeniem komercyjnym, chcącego uczestniczyć we wdrożeniach i utrzymaniu rozwiązań eCommerce dla dużych i znanych marek. Preferowana praca w siedzibie firmy w Bielsku-Białej, ewentualnie hybrydowa."",""responsibilites-class"":""t6laip8""},{""responsibilites"":"""",""responsibilites-class"":""t6laip8""},{""responsibilites"":""Zakres obowiązków:"",""responsibilites-class"":""t6laip8""},{""responsibilites"":"""",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- koordynacja projektów z obszaru eCommerce / aplikacji dedykowanych,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- definiowanie zakresu projektów wspólnie z zespołem analitycznym i developerskim,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- kontakt z klientem,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- tworzenie harmonogramów,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- umiejętne planowanie zasobów,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- nadzór nad jakością i terminowością,"",""responsibilites-class"":""t6laip8""},{""responsibilites"":""- raportowanie prac wewnętrznie i dla klienta."",""responsibilites-class"":""t6laip8""}]","","[{""requirements"":""Na tym stanowisku wymagamy:"",""requirements-class"":""t6laip8""},{""requirements"":"""",""requirements-class"":""t6laip8""},{""requirements"":""- minimum 3 lat komercyjnego doświadczenia w prowadzeniu projektów IT,"",""requirements-class"":""t6laip8""},{""requirements"":""- minimum 2 lat komercyjnego doświadczenia we wdrażaniu eCommerce na platformach PrestaShop lub/oraz Magento2"",""requirements-class"":""t6laip8""},{""requirements"":""- umiejętności koordynowania projektów z uwzględnieniem organizacji wewnętrznej oraz kontaktu z klientem,"",""requirements-class"":""t6laip8""},{""requirements"":""- budowania długofalowych relacji z zespołem,"",""requirements-class"":""t6laip8""},{""requirements"":""- podstawowej znajomości zwinnych metodyk prowadzenia projektów (szczególnie SCRUM, Kanban),"",""requirements-class"":""t6laip8""},{""requirements"":""- komunikatywności i umiejętność specyfikowania, a także dokumentowania wykonanych prac,"",""requirements-class"":""t6laip8""},{""requirements"":""- znajomości języka angielskiego na poziomie pozwalającym na czytanie i pisanie dokumentacji,"",""requirements-class"":""t6laip8""},{""requirements"":""- dużej otwartości, drobiazgowości, systematyczności, poczucia humoru i chęć rozwoju własnych umiejętności,"",""requirements-class"":""t6laip8""},{""requirements"":""- odpowiedzialności, dyspozycyjności."",""requirements-class"":""t6laip8""}]","","[{""technologies"":""PHP"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Jira"",""technologies-data-test"":""item-technologies-expected""}]","","8 000–12 500zł","menedżer","pełny etat",""
"1743533340-110","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/analityk-biznesowo-systemowy-poznan,oferta,1003963046?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Analityk biznesowo - systemowy","Agile, Business analytics, System analytics","[{""responsibilites"":""Zbieranie i analiza wymagań biznesowych i systemowych od interesariuszy."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dokumentowanie wymagań funkcjonalnych i niefunkcjonalnych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie specyfikacji systemowych i technicznych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Ścisła współpraca z zespołami deweloperskimi, testerami, oraz użytkownikami końcowymi."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Komunikowanie zmian w wymaganiach."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Uczestnictwo w spotkaniach projektowych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie i utrzymywanie dokumentacji systemowej."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Aktualizacja dokumentacji w odpowiedzi na zmiany w systemach."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Przedstawianie własnych pomysłów na sposób realizacji wymagań w systemach."",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Znajomość notyfikacji BPMN/UML,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość JIRA i CONFLUENCE,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość podstaw  Enterprise Architect,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość REST API"",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa znajomość SQL oraz projektowania struktur tabel,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Tworzenie dokumentacji na CONFLUENCE"",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie w integracjach międzysystemowych."",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość języka angielskiego (poziom co najmniej średnio zaawansowany),"",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie w pracy w środowisku Agile"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""BPMN"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""UML"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Jira"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Confluence"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Enterprise Architect"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""RabbitMQ"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""Kafka"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""AWS"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533342-111","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/director-of-data-engineering-m-f-warszawa,oferta,1003966163?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Director of Data Engineering M/F","AI/ML, Big Data / Data Science","[{""responsibilites"":""Responsible for delivering a Data Engineering capability that delivers complex data products to support company intelligence of game systems and features and operational systems."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Help the Data and Analytics function deliver a series of high-value and impactful solutions across a wide array of data functions (data capture, ingestion, architecture, curation, and delivery)."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Build and maintain a high-performing team of Data Engineers responsible for creating best-in-class data products."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Continuously refine processes for scalability, stakeholder satisfaction, and expedited analytics and insights delivery."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Develop and maintain strong relationships with stakeholders, understanding their needs and translating them into comprehensive solution architectures and delivery plans."",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""10+ years of experience developing comprehensive data solution architectures, including experience with Advanced Analytics solutions such as AI/MLOps."",""requirements-class"":""tkzmjn3""},{""requirements"":""6+ years experience managing data engineering teams, demonstrating success in data infrastructure, automation, data modeling, and data product delivery."",""requirements-class"":""tkzmjn3""},{""requirements"":""Demonstrated negotiation skills, the ability to articulate value, quantify ROI, and manage risk."",""requirements-class"":""tkzmjn3""},{""requirements"":""Strong leadership and interpersonal skills, including experience designing and implementing individual development programs to motivate and enhance team performance."",""requirements-class"":""tkzmjn3""},{""requirements"":""Expert knowledge of key technologies and systems utilized by data engineering teams."",""requirements-class"":""tkzmjn3""},{""requirements"":""Proven experience in creating delivery plans and managing roadmaps and stakeholder expectation"",""requirements-class"":""tkzmjn3""},{""requirements"":""Experience working in environments requiring management of competing priorities and demands, preferably in mobile gaming, online services, or similar complex digital industries."",""requirements-class"":""tkzmjn3""},{""requirements"":""A strong people-oriented leadership approach."",""requirements-class"":""tkzmjn3""}]","","[]","","","director","full-time",""
"1743533344-112","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/data-analyst-warszawa,oferta,1003972859?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Data Analyst","Big Data / Data Science","[{""responsibilites"":""Collect, process, and analyze data from various sources, including web analytics, databases, and CRM systems"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitor and analyze website performance using tools like Google Analytics, Adobe Analytics, or similar platforms. Provide insights to optimize website performance, user experience, and marketing campaigns"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Generate regular reports and dashboards to communicate findings and insights to stakeholders"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Create clear and compelling data visualizations to present complex data in an understandable manner"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Ensure data accuracy and integrity by performing regular data audits and validation"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Identify trends, patterns, and anomalies in data to provide actionable recommendations"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Work closely with internal Brand, Consumer Activation, Sales, Finance, Legal HQ/ DBU and IT teams, as well as with 3rd parties, digital agencies, web and software developers who contribute to aligned KPIs"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""University degree in Data Science, Statistics, Computer Science, or a related field"",""requirements-class"":""tkzmjn3""},{""requirements"":""Min. 2 years of experience in data analysis, web analytics, or a related role"",""requirements-class"":""tkzmjn3""},{""requirements"":""English - very good (both verbal and written)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Proficiency in web analytics tools (e.g., Google Analytics, Adobe Analytics)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Strong analytical and problem-solving skills"",""requirements-class"":""tkzmjn3""},{""requirements"":""Experience with data visualization tools (e.g., Tableau, Power BI)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Proficiency in SQL and data manipulation"",""requirements-class"":""tkzmjn3""},{""requirements"":""Excellent communication and presentation skills"",""requirements-class"":""tkzmjn3""},{""requirements"":""Attention to detail and a high level of accuracy"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Google Analytics"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Adobe Analytics"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Tableau"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Power BI"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""}]","","","specialist (Mid / Regular)","full-time",""
"1743533346-113","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/koordynator-koordynatorka-ds-danych-i-analiz-warszawa,oferta,1003972860?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Koordynator / Koordynatorka ds. Danych i Analiz","Big Data / Data Science","[{""responsibilites"":""Przygotowanie raportów, analiz i rozliczeń zgodnie z potrzebami działu Planowania Komercyjnego (Commercial Planning) - w szczególności rozliczenie bonusów programów dla klientów (programów marketingowych), umów z klientami, premii osób zatrudnionych przez firmy zewnętrzne współpracujące z JTI"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Ścisła współpraca z zespołem zarządzającym systemem CRM celem zapewnienia jakości przygotowywanych raportów, danych i analiz"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dbanie o wydajność, bezpieczeństwo, dokładność i spójność danych w systemach bazodanowych i Power BI"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dbanie o najwyższą jakość prezentowanych informacji z wykorzystaniem zaawansowanych narzędzi technicznych / analitycznych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dzielenie się wiedzą i ekspertyzą dotyczącą obszaru komercyjnego celem osiągania przez lepszych wyników sprzedażowych"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Wykształcenie wyższe, preferowane kierunki: ścisłe, analityczne, informatyczne lub programistyczne"",""requirements-class"":""tkzmjn3""},{""requirements"":""Przynajmniej 1 rok doświadczenia w dziale Analiz Komercyjnych / Sprzedażowych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość języka angielskiego (poziom B2)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość Excel"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość SQL i VBA"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość budowy raportów w Power BI"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność pracy z dużą ilością danych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Komunikatywność i umiejętność współpracy z innymi"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Power BI"",""technologies-data-test"":""item-technologies-expected""}]","","","starszy specjalista (Senior), ekspert","pełny etat",""
"1743533349-114","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/data-analyst-warszawa-bukowinska-22b,oferta,1003982006?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Data Analyst","Big Data / Data Science, Business analytics","[{""responsibilites"":""Gromadzenie, analiza i wizualizacja danych dotyczących działań windykacyjnych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Przygotowywanie rekomendacji na podstawie przeprowadzonych analiz"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie raportów dziennych, miesięcznych oraz ad hoc"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wymiana danych z zewnętrznymi podmiotami, współpracującymi z departamentem"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Optymalizacja oraz automatyzacja narzędzi raportowania"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Nadzór nad poprawnością działania systemów"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Uczestnictwo w projektach związanych z procesami optymalizacji systemowych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Aktywny udział w projektach i testowaniu nowych rozwiązań"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Zaawansowana znajomość: MS Office, w tym szczególnie MS Excel (Power Query, makra, VBA), baz danych w tym SQL (najlepiej środowisko PortgreSQL)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Min. 1 roku doświadczenia w pracy na samodzielnym stanowisku analitycznym"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność pracy z dużymi zbiorami danych liczbowych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dokładność, terminowość i samodzielność w organizacji pracy"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość języka angielskiego (umożliwiająca porozumiewanie się w zespole oraz udział w projektach)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Proaktywność i poszukiwanie nowych rozwiązań"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""PostgreSQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""VBA"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Python"",""technologies-data-test"":""item-technologies-optional""}]","","","młodszy specjalista (Junior)","pełny etat",""
"1743533351-115","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/specjalista-specjalistka-ds-wdrozen-sztucznej-inteligencji-plock,oferta,1003982313?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Specjalista / Specjalistka ds. Wdrożeń Sztucznej Inteligencji","AI/ML","[{""responsibilites"":""Analiza procesów biznesowych w różnych działach firmy pod kątem możliwości zastosowania sztucznej inteligencji."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Identyfikowanie obszarów o największym potencjale do optymalizacji i innowacji poprzez AI."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Opracowywanie strategii wdrożenia AI, w tym definiowanie celów, harmonogramów i niezbędnych zasobów."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wybór odpowiednich narzędzi i technologii AI do realizacji konkretnych projektów."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z zewnętrznymi dostawcami rozwiązań AI."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Samodzielne wdrażanie prostych rozwiązań AI oraz wsparcie w bardziej zaawansowanych projektach."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Testowanie i optymalizacja wdrożonych rozwiązań AI."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Szkolenie pracowników w zakresie korzystania z nowych narzędzi opartych na AI."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowanie efektów wdrożonych rozwiązań i raportowanie wyników."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Śledzenie najnowszych trendów i technologii w dziedzinie sztucznej inteligencji."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z zespołami z różnych działów firmy w celu zrozumienia ich potrzeb i dostarczenia im wartościowych rozwiązań AI."",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Wykształcenie wyższe (preferowane kierunki związane z informatyką, analizą danych, inżynierią, matematyką lub pokrewne)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa wiedza z zakresu sztucznej inteligencji, uczenia maszynowego i analizy danych."",""requirements-class"":""tkzmjn3""},{""requirements"":""Zrozumienie potencjalnych zastosowań AI w różnych obszarach biznesowych (np. optymalizacja produkcji, automatyzacja marketingu, usprawnienie obsługi klienta, analiza danych sprzedażowych, wsparcie procesów HR)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność korzystania z podstawowych narzędzi i platform AI (np. chmurowe platformy AI, biblioteki open-source)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość podstawowych języków programowania (mile widziany Python)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa wiedza o bazach danych i umiejętność pracy z danymi (np. SQL będzie dodatkowym atutem)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Zdolność do analitycznego myślenia i rozwiązywania problemów."",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność pracy w zespole i efektywnej komunikacji."",""requirements-class"":""tkzmjn3""},{""requirements"":""Inicjatywa i proaktywne podejście do zadań."",""requirements-class"":""tkzmjn3""},{""requirements"":""Chęć ciągłego uczenia się i rozwoju w dynamicznie zmieniającej się dziedzinie AI."",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość języka angielskiego."",""requirements-class"":""tkzmjn3""},{""requirements"":""Prawo jazdy kategorii B."",""requirements-class"":""tkzmjn3""}]","","[]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533353-116","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/power-bi-developer-kozieglowy-pow-poznanski-piaskowa-3,oferta,1003982409?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Power BI Developer","Big Data / Data Science","[{""responsibilites"":""integracja, przetwarzanie danych i czyszczenie danych do budowy raportów i analiz"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""tworzenie analiz i dashboardów zarządczych środowisku Power BI"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""optymalizacja i automatyzacja procesów raportowych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""wizualizacja wyników, wniosków z przeprowadzanych analiz zarówno w formie raportów, jak i prezentacji"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""doświadczenie zawodowe w obszarze analizy, modelowania danych, pracy z dużymi zbiorami danych"",""requirements-class"":""tkzmjn3""},{""requirements"":""bardzo dobra znajomość Microsoft Excel"",""requirements-class"":""tkzmjn3""},{""requirements"":""znajomość architektury środowiska Power BI"",""requirements-class"":""tkzmjn3""},{""requirements"":""bardzo dobra znajomość SQL, Power Query (język M) i DAX."",""requirements-class"":""tkzmjn3""},{""requirements"":""wysoko rozwinięte umiejętności analityczne"",""requirements-class"":""tkzmjn3""},{""requirements"":""gotowość do podnoszenia kompetencji oraz dzielenia się wiedzą w zespole"",""requirements-class"":""tkzmjn3""},{""requirements"":""wysoki poziom motywacji pozwalający wytrwale dążyć do wyznaczonych celów."",""requirements-class"":""tkzmjn3""},{""requirements"":""umiejętność organizacji pracy własnej"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533356-117","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/administrator-baz-danych-nowy-kaweczyn-pow-skierniewicki,oferta,1003963665?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Administrator Baz Danych","Big Data / Data Science, IT admin","[{""responsibilites"":""Praca z bazami danych SQL i podobnymi"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Obsługa programu AutoCAD, ArtiosCAD"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Rozliczenie balansów produkcyjnych we współpracy z Technologami"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Administrowanie wewnętrznymi systemami typu PIM, CRM, CPQ"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Budowanie raportów w Excelu (tabele przestawne)"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Znajomość języków programowania PHP, HTML, CSS"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność szybkiego uczenia się"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość baz danych, zapytań, skryptów"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność analitycznego myślenia"",""requirements-class"":""tkzmjn3""},{""requirements"":""Systematyczność"",""requirements-class"":""tkzmjn3""},{""requirements"":""Wnikliwość"",""requirements-class"":""tkzmjn3""},{""requirements"":""Samodzielność"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość ArtiosCAD będzie dodatkowym atutem"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""PHP"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""HTML"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""CSS"",""technologies-data-test"":""item-technologies-expected""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533358-118","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/salesforce-consultant-revenue-cloud-salesforce-cpq-billing-warszawa-kazimierza-brokla-2,oferta,1003963676?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Salesforce Consultant Revenue Cloud (Salesforce CPQ & Billing)","Business analytics, Product Management","[{""responsibilites"":""Collaborating with clients to analyze business requirements"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Implementing solutions that leverage Revenue Cloud (Salesforce CPQ & Billing) and manage projects."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Partnering with our industry-leading team of Solution and Technical Architects"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Solving complex problems and delivering top-notch Salesforce Revenue Cloud implementations and enhancements to our clients"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Facilitate business process reviews to identify client requirements and processes"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Translating client requirements into Salesforce Revenue Cloud design, leveraging best practices and minimizing the need for custom development"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Configuring Salesforce Sales and Revenue Cloud solutions"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Developing technical requirements for internal developers as needed"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Delivering end user training and documentation"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""2 years of experience managing with proficiency in Salesforce Revenue Cloud and the willingness to become certified"",""requirements-class"":""tkzmjn3""},{""requirements"":""Hands-on experience and advanced knowledge of all aspects of Salesforce Revenue Cloud"",""requirements-class"":""tkzmjn3""},{""requirements"":""Experience managing a Salesforce instance required. Exposure to multiple Salesforce instances is preferred"",""requirements-class"":""tkzmjn3""},{""requirements"":""Deep understanding of Salesforce administration required"",""requirements-class"":""tkzmjn3""},{""requirements"":""Refined ability to understand and assess how business processes can be improved using Salesforce"",""requirements-class"":""tkzmjn3""},{""requirements"":""Excellent problem solving and time management skills"",""requirements-class"":""tkzmjn3""},{""requirements"":""Demonstrated ability to work well both independently and as part of a team"",""requirements-class"":""tkzmjn3""},{""requirements"":""Proven ability to successfully juggle multiple projects, deliverables and deadlines at once"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Salesforce"",""technologies-data-test"":""item-technologies-expected""}]","","","specialist (Mid / Regular), senior specialist (Senior)","full-time",""
